Year,Month,DayPeriod,Type,Operator,Location,LocationType,Continent,Country,WaterBodyType,WaterBodyName,FederalSubject,CauseCategory,WeatherCondition,Survivors,FlightPhase,Aboard,Ground,Fatalities,SurvivalSeverity,latitude,longitude,geocoded_info
1955,Apr,Afternoon,Douglas DC-6,United Air Lines,"Islip, New York",Land,North America,United States,Unknown,Unknown,New York,Unknown,Unknown,No,Unknown,3,0,3,None Survived,40.7300685,-73.2107266,
1955,Apr,Evening,Lockheed 749A Constellation,Air India," Great Natuna Island, Sarawak",Land,Unknown,Unknown,Unknown,Unknown,Sarawak,Unknown,Unknown,No,Unknown,19,0,19,None Survived,3.9305166,108.1901503,Matched: Great Natuna Island
1955,Apr,Unknown,de Havilland DH-114 Heron 1B,Union des Transportes Aeriens,"Kupe Mountains, Cameroons",Land,Unknown,Unknown,Unknown,Unknown,Cameroons,Unknown,Unknown,No,En Route,14,0,12,Partial Survived,51.409898,-2.502867,Matched: Cameroons
1955,May,Morning,Douglas DC-3,East African Airways,"Mount Kilimanjaro, Kenya",Land,Africa,Kenya,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,20,0,20,None Survived,-1.1670779,36.9348291,
1955,May,Unknown,Douglas C-47-DL,Linea Aeropostal Venezolana," Barcelona, Venezuela",Land,South America,Venezuela,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,13,0,4,Partial Survived,10.1325951,-64.6819583,
1955,May,Afternoon,Avro 685 York C-1,Associated Airways,"Edmonton, Alberta, Canada",Land,North America,Canada,Unknown,Unknown,Alberta,Unknown,Unknown,No,Take,2,0,2,None Survived,53.5462055,-113.491241,
1955,Jun,Unknown,Douglas C-54A,Union AÃƒÂ©romaritime de Transport,"Fort Lamy, Cameroon",Land,Africa,Cameroon,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,3,0,3,None Survived,12.1191543,15.0502758,Matched: Fort Lamy
1955,Jun,Night,Lockheed 049-46-21 Constellation,Panair do Brasil," Asuncion, Paraguay",Land,South America,Paraguay,Unknown,Unknown,Unknown,Unknown,Unknown,No,Landing,24,0,16,Partial Survived,-25.2800459,-57.6343814,
1955,Jun,Unknown,Curtiss C-46,Tigres Voladores,"Leon, Mexico",Land,North America,Mexico,Unknown,Unknown,Unknown,Unknown,Unknown,No,Take,18,0,18,None Survived,21.121965,-101.6829766,
1955,Jul,Unknown,Douglas DC-2-243,Lineas Areas Unidas,"Oaxaca, Mexico",Land,North America,Mexico,Unknown,Unknown,Unknown,Unknown,Unknown,No,En Route,22,0,22,None Survived,17.0,-96.5,
