Year,Month,DayPeriod,Type,Operator,Location,LocationType,Continent,Country,WaterBodyType,WaterBodyName,FederalSubject,CauseCategory,WeatherCondition,Survivors,FlightPhase,Aboard,Ground,Fatalities,SurvivalSeverity,latitude,longitude,geocoded_info
1908,Sep,Evening,Wright Flyer III,Military - U.S. Army,"Fort Myer, Virginia",Land,North America,United States,Unknown,Unknown,Virginia,Unknown,Unknown,No,Unknown,2,0,1,Partial Survived,38.8943573,-77.0720928,
1912,Jul,Morning,Dirigible,Military - U.S. Navy,"Atlantic City, New Jersey",Watery,Unknown,Unknown,Ocean,Atlantic,Unknown,Unknown,Unknown,No,Unknown,5,0,5,None Survived,39.3642852,-74.4229351,
1913,Aug,Unknown,Curtiss seaplane,Private,"Victoria, British Columbia, Canada",Land,North America,Canada,Unknown,Unknown,British Columbia,Unknown,Unknown,No,Unknown,1,0,1,None Survived,48.4283182,-123.364953,
1913,Sep,Evening,Zeppelin L-1 (airship),Military - German Navy,the North Sea,Watery,Europe,Unknown,Sea,North Sea,Unknown,Weather,Thunderstorm,No,Unknown,20,0,14,Partial Survived,53.8079229,-1.6605355,
1913,Oct,Morning,Zeppelin L-2 (airship),Military - German Navy,"Johannisthal, Germany",Land,Europe,Germany,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,30,0,30,None Survived,52.4469899,13.5235435,
1915,Mar,Night,Zeppelin L-8 (airship),Military - German Navy,"Tienen, Belgium",Land,Europe,Belgium,Unknown,Unknown,Unknown,External,Unknown,No,Unknown,41,0,21,Partial Survived,50.8074825,4.9371775,
1915,Sep,Afternoon,Zeppelin L-10 (airship),Military - German Navy,"Cuxhaven, Germany",Land,Europe,Germany,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,19,0,19,None Survived,53.86878,8.698286,
1916,Jul,Unknown,Schutte-Lanz S-L-10 (airship),Military - German Army,"Jambol, Bulgeria",Land,Europe,Bulgeria,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,20,0,20,None Survived,42.483935,26.5105553,Matched: Jambol
1916,Sep,Night,Zeppelin L-32 (airship),Military - German Navy,"Billericay, England",Land,Europe,England,Unknown,Unknown,Unknown,External,Unknown,No,Unknown,22,0,22,None Survived,51.6284395,0.4218142,
1916,Oct,Night,Zeppelin L-31 (airship),Military - German Navy,"Potters Bar, England",Land,Europe,England,Unknown,Unknown,Unknown,External,Unknown,No,Unknown,19,0,19,None Survived,51.6958889,-0.1848935,
1916,Nov,Unknown,Super Zeppelin (airship),Military - German Army,"Mainz, Germany",Land,Europe,Germany,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,28,0,27,Partial Survived,49.9995205,8.2736253,
1916,Nov,Night,Zeppelin L-34 (airship),Military - German Navy,"West Hartlepool, England",Land,Europe,England,Unknown,Unknown,Unknown,External,Unknown,No,Unknown,20,0,20,None Survived,54.6868261,-1.207832,
1917,Mar,Unknown,Airship,Military - German Army,"Gent, Belgium",Land,Europe,Belgium,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,20,0,20,None Survived,51.0538286,3.7250121,
1917,Mar,Unknown,Schutte-Lanz S-L-9 (airship),Military - German Navy,Northern Germany,Land,Unknown,Northern Germany,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,23,0,23,None Survived,54.6591471,8.9982188,
1917,May,Morning,Zeppelin L-22 (airship),Military - German Navy,"Texel Island, North Sea",Watery,Europe,Unknown,Sea,North Sea,Unknown,Unknown,Unknown,No,Unknown,21,0,21,None Survived,53.0847,4.80775,
1917,Jun,Morning,Zeppelin L-43 (airship),Military - German Navy,"Vlieland Island, North Sea",Watery,Europe,Unknown,Sea,North Sea,Unknown,External,Unknown,No,Unknown,24,0,24,None Survived,53.2606,4.9557,
1917,Aug,Morning,Zeppelin L-23 (airship),Military - German Navy,western Denmark,Land,Unknown,Western Denmark,Unknown,Unknown,Unknown,External,Unknown,No,Unknown,18,0,18,None Survived,-34.9604365,117.3551157,
1917,Oct,Morning,Zeppelin L-44 (airship),Military - German Navy,"Luneville, France",Land,Europe,France,Unknown,Unknown,Unknown,External,Unknown,No,Unknown,18,0,18,None Survived,48.5916164,6.4919563,
1918,Apr,Night,Zeppelin L-59 (airship),Military - German Navy,The Mediterranean,Land,Unknown,The Mediterranean,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,23,0,23,None Survived,22.3860063,114.2722546,
1918,May,Unknown,Zeppelin L-70 (airship),Military - German Navy,"Helgoland Island, Germany",Land,Europe,Germany,Unknown,Unknown,Unknown,External,Unknown,No,Unknown,22,0,22,None Survived,54.1800452,7.8853621,
1918,Aug,Morning,Zeppelin L-53 (airship),Military - German Navy,"Ameland Island, Netherland, North Sea",Watery,Europe,Unknown,Sea,North Sea,Unknown,External,Unknown,No,Unknown,19,0,19,None Survived,53.448327,5.7399613,Matched: Ameland Island
1918,Dec,Unknown,De Havilland DH-4,US Aerial Mail Service,"Elizabeth, New Jersey",Land,North America,United States,Unknown,Unknown,New Jersey,Unknown,Unknown,No,Unknown,1,0,1,None Survived,40.6639916,-74.2107006,
1919,May,Unknown,De Havilland DH-4,US Aerial Mail Service,"Cleveland, Ohio",Land,North America,United States,Unknown,Unknown,Ohio,Unknown,Unknown,No,Unknown,1,0,1,None Survived,41.4996574,-81.6936772,
1919,Jul,Unknown,De Havilland DH-4,US Aerial Mail Service,"Dix Run, Pennsylvania",Land,North America,United States,Unknown,Unknown,Pennsylvania,Unknown,Unknown,No,Unknown,1,0,1,None Survived,40.9078125,-77.9371383,
1919,Oct,Unknown,De Havilland DH-4,Aircraft Transport and Travel,"Newcastle, England",Land,Europe,England,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,1,0,1,None Survived,54.9738474,-1.6131572,
1919,Oct,Unknown,Curtiss R-4LM,US Aerial Mail Service,"Catonsville, Maryland",Land,North America,United States,Unknown,Unknown,Maryland,Unknown,Unknown,No,Unknown,1,0,1,None Survived,39.2609921,-76.7455478,
1919,Oct,Unknown,De Havilland DH.4,US Aerial Mail Service,"Long Valley, New Jersey",Land,North America,United States,Unknown,Unknown,New Jersey,Unknown,Unknown,No,Unknown,1,0,1,None Survived,40.7816813,-74.7592328,
1920,Mar,Unknown,De Havilland DH-4,US Aerial Mail Service,"New Paris, Indiana",Land,North America,United States,Unknown,Unknown,Indiana,Unknown,Unknown,No,Unknown,1,0,1,None Survived,41.5045465,-85.8241113,
1920,Mar,Unknown,De Havilland DH-4,US Aerial Mail Service,"Newark, New Jersey",Land,North America,United States,Unknown,Unknown,New Jersey,Unknown,Unknown,No,Unknown,1,0,1,None Survived,40.735657,-74.1723667,
1920,Apr,Unknown,Curtiss R-4LM,US Aerial Mail Service,"Newark, New Jersey",Land,North America,United States,Unknown,Unknown,New Jersey,Unknown,Unknown,No,Unknown,2,0,1,Partial Survived,40.735657,-74.1723667,
1920,Apr,Unknown,Curtiss JN-4H,US Aerial Mail Service,"Heller Field, New Jersey",Land,North America,United States,Unknown,Unknown,New Jersey,Unknown,Unknown,No,Unknown,2,0,1,Partial Survived,40.9354609,-74.6611513,
1920,May,Unknown,De Havilland DH-4,US Aerial Mail Service,"Oskaloosa, Iowa",Land,North America,United States,Unknown,Unknown,Iowa,Unknown,Unknown,No,Unknown,2,0,1,Partial Survived,41.2951037,-92.6448451,
1920,Jun,Unknown,De Havilland DH-4,US Aerial Mail Service,"Cleveland, Ohio",Land,North America,United States,Unknown,Unknown,Ohio,Unknown,Unknown,No,Unknown,1,0,1,None Survived,41.4996574,-81.6936772,
1920,Aug,Unknown,Armstrong-Whitworth F-K-8,By Air,"Bedford, England",Land,Europe,England,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,1,0,1,None Survived,52.1363806,-0.4675041,
1920,Aug,Unknown,De Havilland DH-4,US Aerial Mail Service,"College Park, Maryland",Land,North America,United States,Unknown,Unknown,Maryland,Unknown,Unknown,No,Unknown,1,0,1,None Survived,38.980666,-76.9369189,
1920,Sep,Unknown,Junkers JL-6,US Aerial Mail Service,"Morristown, New Jersey",Land,North America,United States,Unknown,Unknown,New Jersey,Unknown,Unknown,No,Unknown,2,0,2,None Survived,40.7970382,-74.4809868,
1920,Sep,Unknown,Junkers F-13,US Aerial Mail Service,"Pemberville, Ohio",Land,North America,United States,Unknown,Unknown,Ohio,Unknown,Unknown,No,Unknown,2,0,2,None Survived,41.4108855,-83.46104,
1920,Sep,Unknown,De Havilland DH-4,US Aerial Mail Service,"Millersburg, Pennsylvania",Land,North America,United States,Unknown,Unknown,Pennsylvania,Unknown,Unknown,No,Unknown,1,0,1,None Survived,40.5417153,-76.9614003,
1920,Oct,Unknown,Salmson 2-A-2,Latecoere Airlines,"Port Vendres, France",Land,Europe,France,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,2,0,2,None Survived,42.5204146,3.1056167,
1920,Oct,Unknown,Breguet 14,Latecoere Airlines,"Valencia, Spain",Land,Europe,Spain,Unknown,Unknown,Unknown,Unknown,Unknown,No,Landing,2,0,2,None Survived,39.4697065,-0.3763353,
1920,Oct,Unknown,De Havilland DH-4,US Aerial Mail Service,"Batavia, Illinois",Land,North America,United States,Unknown,Unknown,Illinois,Unknown,Unknown,No,Unknown,1,0,1,None Survived,41.8500284,-88.3125738,
1920,Nov,Unknown,De Havilland DH-4,US Aerial Mail Service,"Tie Siding, Wyoming",Land,North America,United States,Unknown,Unknown,Wyoming,Unknown,Unknown,No,Unknown,1,0,1,None Survived,41.0812698,-105.5091717,
1920,Dec,Unknown,Handley Page HP-16,Handley Page Transport,"Cricklewood, England",Land,Europe,England,Unknown,Unknown,Unknown,Weather,Fog,No,Unknown,8,0,4,Partial Survived,51.5566986,-0.2157507,
1920,Dec,Unknown,Breguet 14,Aeropostale,"Barcelona, Spain",Land,Europe,Spain,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,1,0,1,None Survived,41.3825802,2.177073,
1921,Feb,Unknown,De Havilland DH-4,US Aerial Mail Service,"Mendota, Minnesota",Land,Unknown,Unknown,Unknown,Unknown,Minnisota,Unknown,Unknown,No,Unknown,1,0,1,None Survived,44.8871878,-93.1643869,
1921,Feb,Unknown,Junkers F-13,US Aerial Mail Service,"La Crosse, Wisconsin",Land,North America,United States,Unknown,Unknown,Wisconsin,Unknown,Unknown,No,Unknown,3,0,3,None Survived,43.8122836,-91.2514355,
1921,Feb,Unknown,Breguet 14,Aeropostale,Gibraltar,Land,Unknown,Gibraltar,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,2,0,2,None Survived,36.1285933,-5.3474761,
1921,Feb,Unknown,De Havilland DH-4,US Aerial Mail Service,"Elko, Nevada",Land,North America,United States,Unknown,Unknown,Nevada,Unknown,Unknown,No,Unknown,1,0,1,None Survived,41.1958128,-115.3272864,
1921,Apr,Unknown,Unknown,Military - Royal Australian Air Force,"Point Cook, Australia",Land,Oceania,Australia,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,2,0,1,Partial Survived,-37.9064862,144.7533059,
1921,Apr,Unknown,De Havilland DH-4,US Aerial Mail Service,"Mitchel Field, NY",Land,Unknown,Unknown,Unknown,Unknown,NY,Unknown,Unknown,No,Unknown,1,0,1,None Survived,40.7352518,-73.5945918,
1921,Apr,Unknown,De Havilland DH-4,US Aerial Mail Service,"Cleveland, Ohio",Land,North America,United States,Unknown,Unknown,Ohio,Unknown,Unknown,No,Unknown,1,0,1,None Survived,41.4996574,-81.6936772,
1921,May,Unknown,Unknown,US Aerial Mail Service,"Rock Springs, Wyoming",Land,North America,United States,Unknown,Unknown,Wyoming,Unknown,Unknown,No,Unknown,1,0,1,None Survived,41.5860557,-109.2194544,
1921,Jul,Unknown,De Havilland DH-4,US Aerial Mail Service,"San Francisco, California",Land,North America,United States,Unknown,Unknown,California,Unknown,Unknown,No,Unknown,1,0,1,None Survived,37.7792588,-122.4193286,
1921,Aug,Unknown,Breguet 14,Aeropostale,"Toulouse, France",Land,Europe,France,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,2,0,2,None Survived,43.6044622,1.4442469,
1921,Aug,Evening,Royal Airship Works ZR-2 (airship),Military - Royal Airship Works,"River Humber, England",Watery,Europe,England,River,River,Unknown,Unknown,Unknown,No,Unknown,46,1,46,None Survived,53.7124015,-0.3652257,
1921,Sep,Unknown,Potez IX,Franco-Roumaine,"Paris, France",Land,Europe,France,Unknown,Unknown,Unknown,Unknown,Unknown,No,Landing,5,0,5,None Survived,48.8534951,2.3483915,
1921,Dec,Unknown,Bristol 28 Tourer,West Australian Airways,"Murchison River, Australia",Watery,North America,US,River,"Murchinson River,",Unknown,Unknown,Unknown,No,Unknown,3,0,3,None Survived,-26.9812053,116.0858165,
1922,Jan,Unknown,Handley Page O/10,Handley Page Transport,"Paris, France",Land,Europe,France,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,5,5,5,None Survived,48.8534951,2.3483915,
1922,Feb,Unknown,Dirigible Roma (airship),Military - U.S. Army Air Service,"Norfolk, Virginia",Land,North America,United States,Unknown,Unknown,Virginia,Unknown,Unknown,No,Unknown,45,0,34,Partial Survived,36.8493695,-76.2899539,
1922,Apr,Unknown,de Havilland DH-18 / Farman F-60 Goliath,Daimler Airways / Grands Express Aeriens,"Grandvilliers, France",Land,Europe,France,Unknown,Unknown,Unknown,External,Unknown,No,Unknown,7,0,7,None Survived,49.6647765,1.9428278,
1922,Apr,Unknown,Unknown,Unknown,"Baoding, China",Land,Asia,China,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,17,0,17,None Survived,38.874,115.4646,
1922,Apr,Unknown,Vickers Viking,Vickers,"Brooklands, England",Land,Europe,England,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,3,0,3,None Survived,53.4139076,-2.3213704,
1925,Oct,Unknown,De Havilland DH-4,US Aerial Mail Service,"Nittany Mountain, Ohio",Land,North America,United States,Unknown,Unknown,Ohio,Unknown,Unknown,No,Unknown,1,0,1,None Survived,40.6798643,-80.887355,
1922,Jun,Unknown,Bleriot Spad 27,Cie des Messageries Aeriennes,"Folkestone, Kent, England",Land,Europe,England,Unknown,Unknown,Kent,Unknown,Unknown,No,Unknown,3,0,3,None Survived,51.0791335,1.1794073,
1922,Jul,Unknown,Breguet 14,Grands Express Aeriens,"Cadix, Spain",Land,Europe,Spain,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,3,0,3,None Survived,36.5297438,-6.2928976,
1922,Sep,Unknown,De Havilland DH-4,US Aerial Mail Service,"Indianapolis, Indiana",Land,North America,United States,Unknown,Unknown,Indiana,Unknown,Unknown,No,Unknown,1,0,1,None Survived,39.7683331,-86.1583502,
1922,Oct,Unknown,de Havilland DH-9,Unknown,"Venice, Italy",Land,Europe,Italy,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,4,0,4,None Survived,45.4371908,12.3345898,
1922,Oct,Unknown,Breguet 14,Grands Express Aeriens,"Larache, Morocco",Land,Africa,Morocco,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,2,0,2,None Survived,35.1952327,-6.152913,
1922,Dec,Unknown,Breguet 14,Grands Express Aeriens,"Fez, Morocco",Land,Africa,Morocco,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,1,0,1,None Survived,34.0346534,-5.0161926,
1923,Jan,Unknown,LiorÃƒÂ©-et-Olivier H-13,Amee de l'Air,"Ajaccio, France",Land,Europe,France,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,4,0,3,Partial Survived,41.9263991,8.7376029,
1923,Jan,Unknown,Breguet 14,Grands Express Aeriens,"Barcelona, Spain",Land,Europe,Spain,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,1,0,1,None Survived,41.3825802,2.177073,
1923,Jan,Unknown,De Havilland DH-4,US Aerial Mail Service,"Cheyenne, Wyoming",Land,North America,United States,Unknown,Unknown,Wyoming,Unknown,Unknown,No,Unknown,1,0,1,None Survived,41.139981,-104.820246,
1923,Feb,Unknown,De Havilland DH-4,US Aerial Mail Service,"Meadville, Pennsylvania",Land,North America,United States,Unknown,Unknown,Pennsylvania,Unknown,Unknown,No,Unknown,1,0,1,None Survived,41.641445,-80.151449,
1923,May,Unknown,Farman F-60 Goliath,Grands Express Aeriens,"Monsures, France",Land,Europe,France,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,6,0,6,None Survived,49.7095701,2.1701394,
1923,Aug,Unknown,BlÃƒÂ©riot Spad 46,Campagnie France Roumaine,"Bucharest, Romania",Land,Europe,Romania,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,2,0,2,None Survived,44.4361414,26.1027202,
1923,Sep,Unknown,De Havilland DH-4,US Aerial Mail Service,"Colton, Ohio",Land,North America,United States,Unknown,Unknown,Ohio,Unknown,Unknown,No,Unknown,1,0,1,None Survived,41.4647742,-83.9524442,
1923,Sep,Unknown,de Havilland DH-34,Daimler Airways,"Berks, England",Land,Europe,England,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,6,0,6,None Survived,51.4534889,-1.031873,
1923,Nov,Unknown,Junkers F-13,CCCP,Russia,Land,Europe,Russia,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,4,0,2,Partial Survived,64.6863136,97.7453061,
1923,Dec,Unknown,De Havilland DH-4,US Aerial Mail Service,"Castalia, Ohio",Land,North America,United States,Unknown,Unknown,Ohio,Unknown,Unknown,No,Unknown,1,0,1,None Survived,41.4000523,-82.8085204,
1923,Dec,Night,Zeppelin Dixmunde (airship),Military - French Navy,the Mediterranean Sea,Watery,Europe,Unknown,Sea,Mediterranean Sea,Unknown,Unknown,Unknown,No,Unknown,52,0,52,None Survived,31.27717,16.020182,
1923,Dec,Unknown,De Havilland DH-4,US Aerial Mail Service,"Egbert, WY",Land,Unknown,Unknown,Unknown,Unknown,WY,Unknown,Unknown,No,Unknown,1,0,1,None Survived,41.1710716,-104.2552567,
1924,Mar,Unknown,De Havilland DH-4,US Aerial Mail Service,"Grampian, Pennsylvania",Land,North America,United States,Unknown,Unknown,Pennsylvania,Unknown,Unknown,No,Unknown,1,0,1,None Survived,40.9658932,-78.6130822,
1924,Apr,Unknown,Fokker F.III,KLM Royal Dutch Airlines,the English Channel,Watery,Europe,Unknown,Channel,English Channel,Unknown,Unknown,Unknown,No,Unknown,3,0,3,None Survived,50.780805,-0.678208,
1924,Jun,Unknown,Junkers F-13,SCADTA,"Barranquilla, Colombia",Land,South America,Colombia,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,3,0,3,None Survived,11.0101922,-74.8231794,
1924,Aug,Unknown,De Havilland DH-4,US Aerial Mail Service,United States,Land,North America,United States,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,1,0,1,None Survived,39.7837304,-100.445882,
1924,Nov,Unknown,Unknown,Grands Express Aeriens,"Cabrerolles, France",Land,Europe,France,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,1,0,1,None Survived,43.5445,3.12514,
1924,Dec,Unknown,De Havilland DH-4,US Aerial Mail Service,"Goshen, Indiana",Land,North America,United States,Unknown,Unknown,Indiana,Unknown,Unknown,No,Unknown,1,0,1,None Survived,41.5850394,-85.8344491,
1924,Dec,Unknown,de Havilland DH-34B,Imperial Airways,"Purley, England",Land,Europe,England,Unknown,Unknown,Unknown,Unknown,Unknown,No,Landing,8,0,8,None Survived,51.3388112,-0.1158589,
1925,Mar,Unknown,Junkers F-13,Zakavia,"Tiflis, Georgia, USSR",Land,Europe,Soviet Union,Unknown,Unknown,Georgia,Unknown,Unknown,No,Unknown,5,0,5,None Survived,41.697102,44.773674,
1925,Apr,Unknown,Breguet 14,Grands Express Aeriens,"Alicante, Spain",Land,Europe,Spain,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,4,0,4,None Survived,38.3436365,-0.4881708,
1925,May,Unknown,Breguet 14,Lignes Aeriennes Latecoere,"Alicante, Spain",Land,Europe,Spain,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,2,0,2,None Survived,38.3436365,-0.4881708,
1925,Jun,Unknown,Fokker (KLM)  F.III,KLM Royal Dutch Airlines,"LandrÃƒÂ©cies, France",Land,Europe,France,Unknown,Unknown,Unknown,Weather,Unknown,No,Unknown,4,0,4,None Survived,50.1250142,3.6913023,
1925,Jun,Unknown,LiorÃƒÂ©-et-Olivier H-13,Grands Express Aeriens,"Alicante, Spain",Land,Europe,Spain,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,2,0,2,None Survived,38.3436365,-0.4881708,
1925,Jul,Unknown,Breguet 14,Lignes Aeriennes Latecoere,"Rosas, Spain",Land,Europe,Spain,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,1,0,1,None Survived,42.2632018,3.1755328,
1925,Jul,Unknown,Potez IX,CIDNA,"Budapest, Hungary",Land,Europe,Hungary,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,1,0,1,None Survived,47.4813896,19.1460941,
1925,Sep,Morning,Dirigible ZR-1 Shenandoah (airship),Military - U.S. Navy,"Caldwell, Ohio",Land,North America,United States,Unknown,Unknown,Ohio,Weather,Thunderstorm,No,Unknown,43,0,14,Partial Survived,39.7478508,-81.5165127,
1925,Sep,Unknown,Unknown,CIDNA,"Toul, France",Land,Europe,France,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,3,0,3,None Survived,48.6762624,5.8941759,
1925,Nov,Unknown,Farman F-60 Goliath,Air Union,"Boulogne-sur-Mer, France",Land,Europe,France,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,2,0,2,None Survived,50.7259985,1.6118771,
1926,Feb,Unknown,Curtiss Carrier Pigeon,US Aerial Mail Service,"Montpelier, Ohio",Land,North America,United States,Unknown,Unknown,Ohio,Unknown,Unknown,No,Unknown,1,0,1,None Survived,41.5844951,-84.6055076,
1926,Mar,Unknown,Junkers F-13,Deutche Lufthansa,"Staaken, Germany",Land,Europe,Germany,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,1,0,1,None Survived,52.5322705,13.1433666,
1926,May,Unknown,Breguet 14,Air Union,English Channel,Watery,Europe,Unknown,Channel,English Channel,Unknown,Unknown,Unknown,No,Unknown,1,0,1,None Survived,49.9892202,-2.2384698,
1926,Jul,Unknown,Caudron C-61,Compagnie Internationale de Navigation AÃƒÂ©rienne,"Prague, the Czech Republic",Land,Unknown,Unknown,Unknown,Unknown,Czechoslovakia,Unknown,Unknown,No,En Route,7,0,7,None Survived,50.0864234,14.4156772,
1926,Jul,Unknown,Fokker F-4,KLM Royal Dutch Airlines,"Wolvertem, Belgium",Land,Europe,Belgium,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,2,0,2,None Survived,50.9510266,4.3085198,
1926,Jul,Unknown,Junkers F-13,Deutsche Lufthansa,"Juist, Germany",Land,Europe,Germany,Unknown,Unknown,Unknown,Weather,Unknown,No,Unknown,4,0,4,None Survived,53.6784483,6.9956079,
1926,Aug,Unknown,Bleriot 155,Air Union,"Hurst, Kent, England",Land,Europe,England,Unknown,Unknown,Kent,Mechanical,Unknown,No,Unknown,4,0,4,None Survived,51.2034355,0.7681933,
1926,Sep,Unknown,Sikorsky S-25,Unknown,"New York, New York",Land,North America,United States,Unknown,Unknown,New York,Unknown,Unknown,No,Landing,5,0,2,Partial Survived,40.7127281,-74.0060152,
1926,Oct,Unknown,Fokker FG III,Deutsche Lufthansa,"Bueren, Germany",Land,Europe,Germany,Unknown,Unknown,Unknown,Weather,Unknown,No,Unknown,4,0,4,None Survived,51.5525333,8.5591919,
1926,Oct,Afternoon,Handley Page W-10,Imperial Airways,English Channel,Watery,Europe,Unknown,Channel,English Channel,Unknown,Unknown,Unknown,No,Unknown,12,0,0,All Survived,49.9892202,-2.2384698,
1926,Nov,Unknown,Breguet 14,Grands Express Aeriens,"Cape Bojador, Morocco",Land,Africa,Morocco,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,3,0,3,None Survived,26.1233266,-14.5005584,
1926,Dec,Unknown,Ryan M-1,PacifiAir Transport,"Medford, Oregon",Land,North America,United States,Unknown,Unknown,Oregon,Unknown,Unknown,No,Unknown,1,0,1,None Survived,42.3264181,-122.8718605,
1927,Jan,Unknown,Fokker F-VII,KLM Royal Dutch Airlines,"Lille, France",Land,Europe,France,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,2,0,2,None Survived,50.6365654,3.0635282,
1927,Mar,Unknown,Breguet 14,Grands Express Aeriens,"Rabat, Morocco",Land,Africa,Morocco,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,1,0,1,None Survived,34.0218454,-6.8408929,
1927,Mar,Unknown,de Havilland DH-9C,Qantas,"Tambo, Qld, Australia",Land,Oceania,Australia,Unknown,Unknown,Qld,Unknown,Unknown,No,Landing,3,0,3,None Survived,-24.9071275,146.3312403,
1927,Apr,Unknown,Unknown,Varney Air Lines,"King Hill, Idaho",Land,North America,United States,Unknown,Unknown,Idaho,Unknown,Unknown,No,Unknown,1,0,1,None Survived,44.5204431,-116.3345874,
1927,Apr,Unknown,Douglas M-4,US Aerial Mail Service,"Goshen, Indiana",Land,North America,United States,Unknown,Unknown,Indiana,Unknown,Unknown,No,Unknown,1,0,1,None Survived,41.5850394,-85.8344491,
1927,Apr,Unknown,Fokker FG III,Deutsche Lufthansa,"Floh, Germany",Land,Europe,Germany,Unknown,Unknown,Unknown,Mechanical,Unknown,No,Unknown,2,0,2,None Survived,50.7552399,10.4827041,
1927,May,Unknown,SPCA Meteore 63,Air Union,"Algiers, Algeria",Land,Africa,Algeria,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,3,0,1,Partial Survived,36.7729333,3.0588445,
1927,Jul,Unknown,Junkers F-13,Deutsche Lufthansa,"Amoneburg, Germany",Land,Europe,Germany,Unknown,Unknown,Unknown,Mechanical,Unknown,No,Unknown,5,0,5,None Survived,50.7779,8.9229,
1927,Aug,Morning,Fokker F-VIII,KLM Royal Dutch Airlines,"Sevenoaks, England",Land,Europe,England,Unknown,Unknown,Unknown,Unknown,Unknown,No,Landing,11,0,1,Partial Survived,51.2745218,0.1961166,
1927,Sep,Unknown,Fokker Universal,Colonial Air Transport,"Willington, Connecticut",Land,North America,United States,Unknown,Unknown,Connecticut,Unknown,Unknown,No,Unknown,1,0,1,None Survived,41.8757947,-72.2642761,
1927,Sep,Unknown,Fokker F-VII,Reynolds Airways,"Hadley, New Jersey",Land,North America,United States,Unknown,Unknown,New Jersey,Mechanical,Unknown,No,Unknown,12,0,7,Partial Survived,40.565084,-74.4814849,
1927,Sep,Unknown,BFW M-18,Deutsche Lufthansa,"Saale, Germany",Land,Europe,Germany,Unknown,Unknown,Unknown,Mechanical,Unknown,No,Unknown,4,0,2,Partial Survived,50.3487495,11.8768066,
1927,Sep,Morning,Dornier Merkur,Deutsche Lufthansa,"Schleiz, Germany",Land,Europe,Germany,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,6,0,6,None Survived,50.5590505,11.8040013,
1927,Oct,Unknown,Breguet 14,Lignes Aeriennes Latecoere,Mauritania,Land,Africa,Mauritania,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,2,0,2,None Survived,20.2540382,-9.2399263,
1927,Oct,Unknown,Fairchild FC-2,Colonial Air Transport,"New Brunswick, New Jersey",Land,North America,United States,Unknown,Unknown,New Jersey,Unknown,Unknown,No,Unknown,4,0,4,None Survived,40.4951365,-74.4439254,
1927,Nov,Unknown,Farman F-121 Jabiru,CIDNA,"Strasburg, France",Land,Europe,France,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,1,0,1,None Survived,48.584614,7.7507127,
